pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,12,2,50,2,,,,,138.55194274565702,139.5355205806095,139.5355205806095,139.5355205806095,139.5355205806095,139.55217156500066,140.535544428536,140.535544428536,c,1,0.48750564509509786,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,12,3,51,3,,,,,141.05221367621243,142.03571453368113,142.03571453368113,142.03571453368113,142.03571453368113,142.05233593456842,143.0357761156679,143.0357761156679,z,1,0.3874488025062419,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,13,0,52,0,,,,,143.45260043523967,144.43800490059812,144.43800490059812,144.43800490059812,144.43800490059812,144.45289777963717,145.4362748693875,145.4362748693875,x,1,0.33879571225224936,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,13,1,53,1,,,,,145.80294579245628,146.8030511459533,146.8030511459533,146.8030511459533,146.8030511459533,146.8030511459533,147.80319091291358,147.80319091291358,v,1,0.4998944918725101,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,13,2,54,2,,,,,148.31989880026822,149.32050526209014,149.32050526209014,149.32050526209014,149.32050526209014,149.32050526209014,150.32001049308747,150.32001049308747,c,1,0.28660045026208536,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,13,3,55,3,,,,,150.63678762999007,151.63692709507814,151.63692709507814,151.63692709507814,151.63692709507814,151.63692709507814,152.63697660216576,152.63697660216576,x,0,0.3535784078353572,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,14,0,56,0,,,,,153.0204886892907,154.02095538415233,154.02095538415233,154.02095538415233,154.02095538415233,154.02095538415233,155.02043435224368,155.02043435224368,x,1,0.4341554189772978,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,14,1,57,1,,,,,155.4872910174522,156.4872022669415,156.4872022669415,156.4872022669415,156.4872022669415,156.4872022669415,157.47073874536363,157.47073874536363,v,1,0.4649427899607872,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,14,2,58,2,,,,,157.95402995239192,158.93746681289394,158.93746681289394,158.93746681289394,158.93746681289394,158.95413621150647,159.93759058061278,159.93759058061278,c,1,0.4773259011612936,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,14,3,59,3,,,,,160.43777909997925,161.42118516948767,161.42118516948767,161.42118516948767,161.42118516948767,161.43782226774465,162.4212382990454,162.4212382990454,z,1,0.37798691134139517,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,15,0,60,0,,,,,162.82127850846018,163.82133465674224,163.82133465674224,163.82133465674224,163.82133465674224,163.82133465674224,164.80484457038574,164.80484457038574,x,1,0.5696982777762969,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,15,1,61,1,,,,,165.40482005833974,166.38829133230502,166.38829133230502,166.38829133230502,166.38829133230502,166.40502623724706,167.38866112609912,167.38866112609912,v,1,0.401812197207164,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,15,2,62,2,,,,,167.82186082048338,168.80518870501828,168.80518870501828,168.80518870501828,168.80518870501828,168.82182308642268,169.80533571691876,169.80533571691876,c,1,0.35307307329549076,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,15,3,63,3,,,,,170.18869143409665,171.17447595691328,171.17447595691328,171.17447595691328,171.17447595691328,171.19035656272308,172.17244163823807,172.17244163823807,z,1,0.5625780114760346,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,16,0,64,0,,,,,172.75558139584018,173.73905961287255,173.73905961287255,173.73905961287255,173.73905961287255,173.75570154108937,174.7392706217397,174.7392706217397,x,1,0.2679577112157858,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,16,1,65,1,,,,,175.03932523047206,176.02265462436935,176.02265462436935,176.02265462436935,176.02265462436935,176.03938590684174,177.0229721942237,177.0229721942237,v,1,0.5914943767984369,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,16,2,66,2,,,,,177.6395817617099,178.63959202537444,178.63959202537444,178.63959202537444,178.63959202537444,178.63959202537444,179.62320216068247,179.62320216068247,c,1,0.3596143481695435,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,16,3,67,3,,,,,180.0065518404108,181.0067326620292,181.0067326620292,181.0067326620292,181.0067326620292,181.0067326620292,182.00684918480874,182.00684918480874,z,1,0.3756712475101267,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,17,0,68,0,,,,,182.40683626466625,183.40690116725045,183.40690116725045,183.40690116725045,183.40690116725045,183.40690116725045,184.40703700986842,184.40703700986842,x,1,0.3282796823705212,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,17,1,69,1,,,,,184.7570548354388,185.75803169479968,185.75803169479968,185.75803169479968,185.75803169479968,185.75803169479968,186.7572625237085,186.7572625237085,v,1,0.361626630153296,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,17,2,70,2,,,,,187.14071876442404,188.1408706062839,188.1408706062839,188.1408706062839,188.1408706062839,188.1408706062839,189.1408527958074,189.1408527958074,c,1,0.31361471705713484,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,17,3,71,3,,,,,189.47390780270962,190.474128471496,190.474128471496,190.474128471496,190.474128471496,190.474128471496,191.45763597015957,191.45763597015957,z,1,0.33307039870533117,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,18,0,72,0,,,,,191.8077564323744,192.80774314998507,192.80774314998507,192.80774314998507,192.80774314998507,192.80774314998507,193.79139283058885,193.79139283058885,x,1,0.25546411468621955,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,18,1,73,1,,,,,194.0746923089232,195.0747680789168,195.0747680789168,195.0747680789168,195.0747680789168,195.0747680789168,196.07494618368264,196.07494618368264,v,1,0.3235894895738056,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,18,2,74,2,,,,,196.4248139786282,197.40837309748667,197.40837309748667,197.40837309748667,197.40837309748667,197.42496189614576,198.40834079713068,198.40834079713068,c,1,0.27838680182230746,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,18,3,75,3,,,,,198.70838967028567,199.69191226257362,199.69191226257362,199.69191226257362,199.69191226257362,199.7085200791994,200.6918790566001,200.6918790566001,z,1,0.33164133436184784,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,19,0,76,0,,,,,201.04197144467435,202.02775234502087,202.02775234502087,202.02775234502087,202.02775234502087,202.0445373607954,203.02582851167517,203.02582851167517,x,1,0.8775267067385357,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,19,1,77,1,,,,,203.92560473360209,204.90912219405755,204.90912219405755,204.90912219405755,204.90912219405755,204.92566722120637,205.90925592356825,205.90925592356825,v,1,0.42557771232077357,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,19,2,78,2,,,,,206.35918931540482,207.3426971159406,207.3426971159406,207.3426971159406,207.3426971159406,207.359399418654,208.34276835784704,208.34276835784704,c,1,0.2650041908241292,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,19,3,79,3,,,,,208.62625861959168,209.62677814213794,209.62677814213794,209.62677814213794,209.62677814213794,209.62677814213794,210.6264977025994,210.6264977025994,z,1,0.28478770599076597,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,20,0,80,0,,,,,210.9432549159178,211.9433478926435,211.9433478926435,211.9433478926435,211.9433478926435,211.9433478926435,212.9433989090935,212.9433989090935,x,1,0.20746850270415962,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,20,1,81,1,,,,,213.17673486871718,214.17695010379884,214.17695010379884,214.17695010379884,214.17695010379884,214.17695010379884,215.17697153674544,215.17697153674544,v,1,0.32562561948407165,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,20,2,82,2,,,,,215.52700687091965,216.5281880979528,216.5281880979528,216.5281880979528,216.5281880979528,216.5281880979528,217.52725380261245,217.52725380261245,c,1,0.24808635115641664,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,20,3,83,3,,,,,217.7939385212535,218.79472821967374,218.79472821967374,218.79472821967374,218.79472821967374,218.79472821967374,219.79401338563002,219.79401338563002,z,1,0.3177192772336639,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,21,0,84,0,,,,,220.1440761902004,221.14407558645507,221.14407558645507,221.14407558645507,221.14407558645507,221.14407558645507,222.12743305449385,222.12743305449385,x,1,0.25519273132204034,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,21,1,85,1,,,,,222.41088829902992,223.4110476877022,223.4110476877022,223.4110476877022,223.4110476877022,223.4110476877022,224.39444771976105,224.39444771976105,v,1,0.3720991903974209,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,21,2,86,2,,,,,224.79449940033055,225.77789671553683,225.77789671553683,225.77789671553683,225.77789671553683,225.79466241147202,226.7781481753168,226.7781481753168,c,1,0.46823833187772834,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,21,3,87,3,,,,,227.27808161243365,228.26396333819048,228.26396333819048,228.26396333819048,228.26396333819048,228.27980349308746,229.261820647293,229.261820647293,z,1,0.22512985430239496,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,22,0,88,0,,,,,229.51183234485188,230.5125021998956,230.5125021998956,230.5125021998956,230.5125021998956,230.5125021998956,231.5119666781079,231.5119666781079,x,1,0.2624989510723026,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,22,1,89,1,,,,,231.7952746088713,232.7952836650461,232.7952836650461,232.7952836650461,232.7952836650461,232.7952836650461,233.77888987601182,233.77888987601182,v,1,0.36466225986077916,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,22,2,90,2,,,,,234.16230174147222,235.16242128297608,235.16242128297608,235.16242128297608,235.16242128297608,235.16242128297608,236.16235607851968,236.16235607851968,c,1,0.1721376489517752,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,22,3,91,3,,,,,236.36241089856276,237.36261647372476,237.36261647372476,237.36261647372476,237.36261647372476,237.36261647372476,238.34601861889132,238.34601861889132,z,1,0.18104167976434837,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,23,0,92,0,,,,,238.54595691615532,239.5462702597947,239.5462702597947,239.5462702597947,239.5462702597947,239.5462702597947,240.5297943614446,240.5297943614446,x,1,0.26860492582363804,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,23,1,93,1,,,,,240.82956460629657,241.8296400744175,241.8296400744175,241.8296400744175,241.8296400744175,241.8296400744175,242.81305882257038,242.81305882257038,v,1,0.2733645492917276,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,23,2,94,2,,,,,243.11315297659849,244.09654063188555,244.09654063188555,244.09654063188555,244.09654063188555,244.1132782536797,245.09664840036248,245.09664840036248,c,1,0.11844992939586518,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,23,3,95,3,,,,,245.24677532264877,246.23017927904993,246.23017927904993,246.23017927904993,246.23017927904993,246.24678769942102,247.23022486179525,247.23022486179525,z,1,0.2726014156501151,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
